1000,100420,1912
1001,100421,1977
1002,100422,1884
1003,100423,1964
1004,100424,1957
1005,100425,2125
1006,100426,1936
1007,100427,2074
1008,100428,2020
1009,100429,2022
1010,100430,2018
1011,100431,2006
1012,100432,2065
1013,100433,2034
1014,100434,1956
1015,100435,1989
1016,100436,1774
1017,100437,2181
1018,100438,2089
1019,100439,2048
1020,100440,2124
1021,100441,1975
1022,100442,2127
1023,100443,1911
1024,100444,1866
1025,100445,2055
1026,100446,1993
1027,100447,2007
1028,100448,2002
1029,100449,2150
1030,100450,2015
1031,100451,1947
1032,100452,2081
1033,100453,2003
1034,100454,1967
1035,100455,2097
1036,100456,2036
1037,100457,1968
1038,100458,2017
1039,100459,2007
1040,100460,2191
1041,100461,2097
1042,100462,2055
1043,100463,2006
1044,100464,2049
1045,100465,2002
1046,100466,2077
1047,100467,1936
1048,100468,2182
1049,100469,2080
1050,100470,1975
1051,100471,2076
1052,100472,2179
1053,100473,2069
1054,100474,1978
1055,100475,1987
1056,100476,2003
1057,100477,2004
1058,100478,2216
1059,100479,2004
1060,100480,2037
1061,100481,2003
1062,100482,1688
1063,100483,2049
1064,100484,2011
1065,100485,2018
1066,100486,1857
1067,100487,1980
1068,100488,1884
1069,100489,1884
1070,100490,1846
1071,100491,1957
1072,100492,2006
1073,100493,1955
1074,100494,2053
1075,100495,1912
1076,100496,2107
1077,100497,1957
1078,100498,1938
1079,100499,2095
1080,100500,2034
1081,100501,2058
1082,100502,2068
1083,100503,2125
1084,100504,2113
1085,100505,2013
1086,100506,1988
1087,100507,1871
1088,100508,2070
1089,100509,1871
1090,100510,1894
1091,100511,2049
1092,100512,2016
1093,100513,2080
1094,100514,1884
1095,100515,1884
1096,100516,2179
1097,100517,2127
1098,100518,2035
1099,100519,1989
1100,100520,1993
1101,100521,1955
1102,100522,2089
1103,100523,2022
1104,100524,1867
1105,100525,1976
1106,100526,1979
1107,100527,2144
1108,100528,2156
1109,100529,2223
1110,100530,2021
1111,100531,2005
1112,100532,2012
1113,100533,2078
1114,100534,2085
1115,100535,2067
1116,100536,1980
1117,100537,2044
1118,100538,2150
1119,100539,1945
1120,100540,2112
1121,100541,2120
1122,100542,1862
1123,100543,2183
1124,100544,2048
1125,100545,1968
1126,100546,2076
1127,100547,1911
1128,100548,1824
