1000,100420,2032
1001,100421,2119
1002,100422,1884
1003,100423,2032
1004,100424,2067
1005,100425,2012
1006,100426,1963
1007,100427,2005
1008,100428,2020
1009,100429,1993
1010,100430,1913
1011,100431,2081
1012,100432,1955
1013,100433,2034
1014,100434,2099
1015,100435,2016
1016,100436,1795
1017,100437,2056
1018,100438,2089
1019,100439,1865
1020,100440,2034
1021,100441,1975
1022,100442,1871
1023,100443,2048
1024,100444,2135
1025,100445,2157
1026,100446,2182
1027,100447,2007
1028,100448,2092
1029,100449,2150
1030,100450,2056
1031,100451,2055
1032,100452,2034
1033,100453,1963
1034,100454,1958
1035,100455,2079
1036,100456,1828
1037,100457,2089
1038,100458,1834
1039,100459,1956
1040,100460,2077
1041,100461,2097
1042,100462,2085
1043,100463,2090
1044,100464,2046
1045,100465,2119
1046,100466,1945
1047,100467,1988
1048,100468,1883
1049,100469,2093
1050,100470,2012
1051,100471,2066
1052,100472,2056
1053,100473,2210
1054,100474,2112
1055,100475,2054
1056,100476,2093
1057,100477,2060
1058,100478,1959
1059,100479,2048
1060,100480,2047
1061,100481,2020
1062,100482,1933
1063,100483,2020
1064,100484,1851
1065,100485,1933
1066,100486,1938
1067,100487,2119
1068,100488,1911
1069,100489,2142
1070,100490,1811
1071,100491,1917
1072,100492,2006
1073,100493,2017
1074,100494,1968
1075,100495,2135
1076,100496,2078
1077,100497,2066
1078,100498,2085
1079,100499,2013
1080,100500,2143
1081,100501,2011
1082,100502,2048
1083,100503,2066
1084,100504,2058
1085,100505,1824
1086,100506,1954
1087,100507,2155
1088,100508,1916
1089,100509,1946
1090,100510,2065
1091,100511,1922
1092,100512,2004
1093,100513,1769
1094,100514,2096
1095,100515,1956
1096,100516,2070
1097,100517,2067
1098,100518,2089
1099,100519,2082
1100,100520,1993
1101,100521,1885
1102,100522,1938
1103,100523,2172
1104,100524,2084
1105,100525,2005
1106,100526,1835
1107,100527,2061
1108,100528,1975
1109,100529,2003
1110,100530,2005
1111,100531,1912
1112,100532,2037
1113,100533,1911
1114,100534,2085
1115,100535,2044
1116,100536,2077
1117,100537,1910
1118,100538,2068
1119,100539,1869
1120,100540,1915
1121,100541,2059
1122,100542,2055
1123,100543,1760
1124,100544,2120
1125,100545,1958
1126,100546,2112
1127,100547,2020
1128,100548,2193
1129,100549,1958
1130,100550,2149
1131,100551,2057
1132,100552,1933
1133,100553,1858
1134,100554,1979
1135,100555,2012
1136,100556,1955
1137,100557,2157
1138,100558,2033
1139,100559,1930
1140,100560,1956
1141,100561,1882
1142,100562,1870
1143,100563,2006
1144,100564,2096
1145,100565,2066
1146,100566,2021
1147,100567,2018
1148,100568,2011
1149,100569,2179
1150,100570,2044
1151,100571,2074
1152,100572,2075
1153,100573,1976
1154,100574,2033
1155,100575,1936
1156,100576,2046
1157,100577,2033
1158,100578,1947
1159,100579,2174
1160,100580,1975
1161,100581,1966
1162,100582,1933
1163,100583,2018
1164,100584,1935
1165,100585,2192
1166,100586,2090
1167,100587,2018
1168,100588,1938
1169,100589,1937
1170,100590,2074
1171,100591,2210
1172,100592,2019
1173,100593,2057
1174,100594,2141
1175,100595,2084
1176,100596,2191
1177,100597,2065
1178,100598,2015
1179,100599,1945
1180,100600,1877
1181,100601,2057
1182,100602,1938
1183,100603,2083
1184,100604,2173
1185,100605,1979
1186,100606,2048
1187,100607,1930
1188,100608,1846
1189,100609,2014
1190,100610,2002
1191,100611,1965
1192,100612,2075
1193,100613,2096
1194,100614,1965
1195,100615,1993
1196,100616,2068
1197,100617,2098
1198,100618,2017
1199,100619,2006
1200,100620,1915
1201,100621,2093
1202,100622,2018
1203,100623,2061
1204,100624,2125
1205,100625,2094
1206,100626,2144
1207,100627,1936
1208,100628,2109
1209,100629,1862
1210,100630,2012
1211,100631,1795
1212,100632,1909
1213,100633,2048
1214,100634,2007
1215,100635,2077
1216,100636,2068
1217,100637,1817
1218,100638,2115
1219,100639,2037
1220,100640,1959
1221,100641,1945
1222,100642,1835
1223,100643,2036
1224,100644,2033
1225,100645,2127
1226,100646,1976
1227,100647,1847
1228,100648,2208
1229,100649,2180
1230,100650,2067
1231,100651,1868
1232,100652,1967
1233,100653,2090
1234,100654,1964
1235,100655,1870
1236,100656,1859
1237,100657,2145
1238,100658,2022
1239,100659,2055
1240,100660,2179
1241,100661,2076
1242,100662,2094
1243,100663,1989
